ID,sentiment
3001,Negative
3002,Negative
3003,Negative
3004,Negative
3005,Positive
3006,Positive
3007,Positive
3008,Negative
3009,Positive
3010,Positive
3011,Negative
3012,Positive
3013,Positive
3014,Negative
3015,Negative
3016,Negative
3017,Positive
3018,Positive
3019,Negative
3020,Positive
3021,Negative
3022,Positive
3023,Positive
3024,Negative
3025,Positive
3026,Negative
3027,Negative
3028,Positive
3029,Positive
3030,Positive
3031,Negative
3032,Negative
3033,Positive
3034,Negative
3035,Positive
3036,Positive
3037,Positive
3038,Positive
3039,Positive
3040,Positive
3041,Positive
3042,Negative
3043,Positive
3044,Negative
3045,Negative
3046,Positive
3047,Negative
3048,Negative
3049,Positive
3050,Positive
3051,Positive
3052,Positive
3053,Negative
3054,Positive
3055,Negative
3056,Positive
3057,Negative
3058,Negative
3059,Positive
3060,Negative
3061,Negative
3062,Negative
3063,Negative
3064,Negative
3065,Negative
3066,Negative
3067,Positive
3068,Negative
3069,Positive
3070,Negative
3071,Negative
3072,Negative
3073,Positive
3074,Negative
3075,Positive
3076,Negative
3077,Negative
3078,Negative
3079,Positive
3080,Positive
3081,Positive
3082,Negative
3083,Positive
3084,Positive
3085,Positive
3086,Positive
3087,Negative
3088,Negative
3089,Negative
3090,Negative
3091,Negative
3092,Positive
3093,Negative
3094,Positive
3095,Positive
3096,Positive
3097,Positive
3098,Negative
3099,Positive
3100,Negative
3101,Positive
3102,Positive
3103,Negative
3104,Negative
3105,Positive
3106,Negative
3107,Positive
3108,Positive
3109,Positive
3110,Negative
3111,Positive
3112,Negative
3113,Negative
3114,Negative
3115,Negative
3116,Positive
3117,Positive
3118,Positive
3119,Positive
3120,Positive
3121,Negative
3122,Negative
3123,Negative
3124,Positive
3125,Negative
3126,Negative
3127,Positive
3128,Positive
3129,Positive
3130,Negative
3131,Positive
3132,Positive
3133,Negative
3134,Positive
3135,Negative
3136,Positive
3137,Negative
3138,Positive
3139,Positive
3140,Positive
3141,Negative
3142,Negative
3143,Positive
3144,Negative
3145,Negative
3146,Positive
3147,Positive
3148,Positive
3149,Positive
3150,Positive
3151,Positive
3152,Negative
3153,Negative
3154,Positive
3155,Positive
3156,Negative
3157,Negative
3158,Positive
3159,Positive
3160,Negative
3161,Positive
3162,Negative
3163,Positive
3164,Positive
3165,Positive
3166,Positive
3167,Negative
3168,Positive
3169,Positive
3170,Positive
3171,Positive
3172,Positive
3173,Negative
3174,Positive
3175,Positive
3176,Negative
3177,Positive
3178,Negative
3179,Negative
3180,Positive
3181,Negative
3182,Positive
3183,Positive
3184,Positive
3185,Negative
3186,Negative
3187,Positive
3188,Positive
3189,Positive
3190,Negative
3191,Positive
3192,Positive
3193,Positive
3194,Positive
3195,Negative
3196,Positive
3197,Negative
3198,Positive
3199,Positive
3200,Positive
3201,Positive
3202,Negative
3203,Positive
3204,Positive
3205,Positive
3206,Positive
3207,Negative
3208,Positive
3209,Negative
3210,Negative
3211,Positive
3212,Negative
3213,Negative
3214,Positive
3215,Negative
3216,Negative
3217,Negative
3218,Positive
3219,Negative
3220,Positive
3221,Negative
3222,Negative
3223,Positive
3224,Negative
3225,Positive
3226,Negative
3227,Negative
3228,Negative
3229,Positive
3230,Negative
3231,Positive
3232,Positive
3233,Negative
3234,Negative
3235,Positive
3236,Negative
3237,Negative
3238,Negative
3239,Positive
3240,Positive
3241,Positive
3242,Negative
3243,Positive
3244,Negative
3245,Positive
3246,Negative
3247,Positive
3248,Negative
3249,Negative
3250,Positive
3251,Negative
3252,Negative
3253,Negative
3254,Negative
3255,Positive
3256,Negative
3257,Negative
3258,Positive
3259,Negative
3260,Positive
3261,Negative
3262,Negative
3263,Negative
3264,Negative
3265,Negative
3266,Positive
3267,Positive
3268,Negative
3269,Negative
3270,Negative
3271,Positive
3272,Negative
3273,Negative
3274,Negative
3275,Positive
3276,Positive
3277,Negative
3278,Negative
3279,Positive
3280,Negative
3281,Negative
3282,Negative
3283,Negative
3284,Positive
3285,Positive
3286,Negative
3287,Positive
3288,Positive
3289,Negative
3290,Negative
3291,Negative
3292,Negative
3293,Positive
3294,Positive
3295,Negative
3296,Negative
3297,Positive
3298,Positive
3299,Negative
3300,Negative
3301,Negative
3302,Positive
3303,Positive
3304,Positive
3305,Negative
3306,Negative
3307,Negative
3308,Positive
3309,Negative
3310,Positive
3311,Positive
3312,Positive
3313,Positive
3314,Positive
3315,Positive
3316,Negative
3317,Negative
3318,Positive
3319,Positive
3320,Positive
3321,Positive
3322,Negative
3323,Positive
3324,Positive
3325,Positive
3326,Negative
3327,Negative
3328,Negative
3329,Negative
3330,Positive
3331,Positive
3332,Negative
3333,Negative
3334,Positive
3335,Negative
3336,Negative
3337,Positive
3338,Negative
3339,Negative
3340,Negative
3341,Positive
3342,Negative
3343,Positive
3344,Positive
3345,Positive
3346,Negative
3347,Positive
3348,Positive
3349,Negative
3350,Positive
3351,Negative
3352,Positive
3353,Positive
3354,Positive
3355,Positive
3356,Negative
3357,Negative
3358,Negative
3359,Positive
3360,Negative
3361,Positive
3362,Positive
3363,Negative
3364,Positive
3365,Negative
3366,Negative
3367,Positive
3368,Positive
3369,Positive
3370,Negative
3371,Negative
3372,Negative
3373,Negative
3374,Positive
3375,Negative
3376,Negative
3377,Positive
3378,Positive
3379,Positive
3380,Positive
3381,Negative
3382,Negative
3383,Negative
3384,Positive
3385,Negative
3386,Negative
3387,Negative
3388,Positive
3389,Positive
3390,Positive
3391,Negative
3392,Negative
3393,Positive
3394,Negative
3395,Positive
3396,Positive
3397,Negative
3398,Positive
3399,Positive
3400,Negative
3401,Negative
3402,Negative
3403,Negative
3404,Positive
3405,Positive
3406,Positive
3407,Negative
3408,Positive
3409,Negative
3410,Negative
3411,Negative
3412,Positive
3413,Negative
3414,Positive
3415,Negative
3416,Positive
3417,Negative
3418,Positive
3419,Negative
3420,Positive
3421,Negative
3422,Negative
3423,Negative
3424,Negative
3425,Positive
3426,Negative
3427,Negative
3428,Negative
3429,Negative
3430,Positive
3431,Positive
3432,Negative
3433,Positive
3434,Negative
3435,Negative
3436,Negative
3437,Positive
3438,Positive
3439,Negative
3440,Negative
3441,Positive
3442,Negative
3443,Negative
3444,Positive
3445,Positive
3446,Negative
3447,Positive
3448,Negative
3449,Negative
3450,Positive
3451,Negative
3452,Negative
3453,Positive
3454,Positive
3455,Negative
3456,Negative
3457,Negative
3458,Negative
3459,Negative
3460,Positive
3461,Negative
3462,Negative
3463,Positive
3464,Negative
3465,Positive
3466,Negative
3467,Negative
3468,Positive
3469,Negative
3470,Positive
3471,Positive
3472,Positive
3473,Negative
3474,Positive
3475,Negative
3476,Positive
3477,Negative
3478,Positive
3479,Positive
3480,Positive
3481,Positive
3482,Negative
3483,Positive
3484,Positive
3485,Positive
3486,Positive
3487,Negative
3488,Positive
3489,Positive
3490,Positive
3491,Negative
3492,Negative
3493,Negative
3494,Negative
3495,Positive
3496,Negative
3497,Negative
3498,Negative
3499,Positive
3500,Positive
3501,Positive
3502,Positive
3503,Positive
3504,Positive
3505,Positive
3506,Negative
3507,Positive
3508,Negative
3509,Positive
3510,Positive
3511,Positive
3512,Negative
3513,Positive
3514,Negative
3515,Positive
3516,Negative
3517,Negative
3518,Positive
3519,Positive
3520,Positive
3521,Negative
3522,Positive
3523,Negative
3524,Negative
3525,Positive
3526,Positive
3527,Negative
3528,Negative
3529,Negative
3530,Negative
3531,Negative
3532,Positive
3533,Positive
3534,Negative
3535,Negative
3536,Negative
3537,Negative
3538,Positive
3539,Negative
3540,Negative
3541,Negative
3542,Negative
3543,Negative
3544,Negative
3545,Positive
3546,Positive
3547,Positive
3548,Positive
3549,Negative
3550,Positive
3551,Negative
3552,Negative
3553,Negative
3554,Negative
3555,Negative
3556,Negative
3557,Negative
3558,Positive
3559,Positive
3560,Positive
3561,Negative
3562,Negative
3563,Positive
3564,Positive
3565,Negative
3566,Positive
3567,Positive
3568,Negative
3569,Negative
3570,Positive
3571,Negative
3572,Positive
3573,Negative
3574,Positive
3575,Positive
3576,Negative
3577,Negative
3578,Negative
3579,Negative
3580,Negative
3581,Positive
3582,Negative
3583,Positive
3584,Positive
3585,Negative
3586,Positive
3587,Positive
3588,Negative
3589,Positive
3590,Positive
3591,Positive
3592,Positive
3593,Negative
3594,Positive
3595,Negative
3596,Positive
3597,Negative
3598,Negative
3599,Negative
3600,Negative
3601,Positive
3602,Negative
3603,Positive
3604,Positive
3605,Positive
3606,Positive
3607,Positive
3608,Negative
3609,Negative
3610,Negative
3611,Negative
3612,Negative
3613,Positive
3614,Positive
3615,Negative
3616,Negative
3617,Negative
3618,Positive
3619,Negative
3620,Positive
3621,Positive
3622,Positive
3623,Negative
3624,Negative
3625,Negative
3626,Positive
3627,Positive
3628,Positive
3629,Negative
3630,Positive
3631,Positive
3632,Positive
3633,Negative
3634,Positive
3635,Positive
3636,Positive
3637,Positive
3638,Negative
3639,Positive
3640,Negative
3641,Negative
3642,Positive
3643,Positive
3644,Positive
3645,Positive
3646,Positive
3647,Negative
3648,Negative
3649,Negative
3650,Positive
3651,Positive
3652,Positive
3653,Positive
3654,Positive
3655,Negative
3656,Negative
3657,Negative
3658,Negative
3659,Positive
3660,Positive
3661,Negative
3662,Positive
3663,Positive
3664,Positive
3665,Positive
3666,Negative
3667,Positive
3668,Positive
3669,Negative
3670,Negative
3671,Positive
3672,Negative
3673,Positive
3674,Negative
3675,Positive
3676,Negative
3677,Positive
3678,Negative
3679,Negative
3680,Positive
3681,Negative
3682,Negative
3683,Positive
3684,Positive
3685,Negative
3686,Negative
3687,Positive
3688,Positive
3689,Positive
3690,Negative
3691,Positive
3692,Positive
3693,Positive
3694,Positive
3695,Positive
3696,Positive
3697,Positive
3698,Negative
3699,Negative
3700,Positive
3701,Positive
3702,Positive
3703,Positive
3704,Negative
3705,Positive
3706,Negative
3707,Positive
3708,Positive
3709,Positive
3710,Positive
3711,Negative
3712,Negative
3713,Negative
3714,Positive
3715,Positive
3716,Positive
3717,Positive
3718,Positive
3719,Negative
3720,Negative
3721,Negative
3722,Negative
3723,Negative
3724,Positive
3725,Negative
3726,Negative
3727,Positive
3728,Negative
3729,Positive
3730,Negative
3731,Positive
3732,Negative
3733,Negative
3734,Positive
3735,Negative
3736,Positive
3737,Positive
3738,Positive
3739,Positive
3740,Negative
3741,Negative
3742,Negative
3743,Positive
3744,Negative
3745,Negative
3746,Negative
3747,Negative
3748,Negative
3749,Negative
3750,Positive
3751,Negative
3752,Negative
3753,Positive
3754,Negative
3755,Positive
3756,Negative
3757,Positive
3758,Negative
3759,Negative
3760,Negative
3761,Negative
3762,Negative
3763,Negative
3764,Positive
3765,Positive
3766,Positive
3767,Positive
3768,Positive
3769,Positive
3770,Negative
3771,Positive
3772,Negative
3773,Positive
3774,Negative
3775,Positive
3776,Positive
3777,Positive
3778,Negative
3779,Negative
3780,Positive
3781,Positive
3782,Positive
3783,Negative
3784,Negative
3785,Positive
3786,Negative
3787,Positive
3788,Negative
3789,Negative
3790,Negative
3791,Positive
3792,Positive
3793,Positive
3794,Positive
3795,Positive
3796,Negative
3797,Positive
3798,Positive
3799,Positive
3800,Negative
3801,Negative
3802,Positive
3803,Positive
3804,Negative
3805,Negative
3806,Negative
3807,Negative
3808,Positive
3809,Negative
3810,Positive
3811,Negative
3812,Positive
3813,Negative
3814,Negative
3815,Positive
3816,Negative
3817,Negative
3818,Positive
3819,Negative
3820,Positive
3821,Positive
3822,Positive
3823,Positive
3824,Negative
3825,Positive
3826,Negative
3827,Positive
3828,Negative
3829,Positive
3830,Negative
3831,Positive
3832,Positive
3833,Positive
3834,Positive
3835,Negative
3836,Positive
3837,Positive
3838,Positive
3839,Positive
3840,Positive
3841,Negative
3842,Positive
3843,Negative
3844,Negative
3845,Negative
3846,Positive
3847,Negative
3848,Positive
3849,Negative
3850,Positive
3851,Positive
3852,Negative
3853,Positive
3854,Negative
3855,Positive
3856,Positive
3857,Positive
3858,Negative
3859,Negative
3860,Positive
3861,Negative
3862,Positive
3863,Negative
3864,Positive
3865,Negative
3866,Positive
3867,Negative
3868,Negative
3869,Positive
3870,Positive
3871,Negative
3872,Positive
3873,Negative
3874,Negative
3875,Negative
3876,Negative
3877,Positive
3878,Positive
3879,Positive
3880,Negative
3881,Negative
3882,Negative
3883,Negative
3884,Positive
3885,Positive
3886,Negative
3887,Positive
3888,Negative
3889,Negative
3890,Positive
3891,Negative
3892,Negative
3893,Positive
3894,Negative
3895,Positive
3896,Positive
3897,Positive
3898,Positive
3899,Negative
3900,Negative
3901,Positive
3902,Positive
3903,Negative
3904,Negative
3905,Negative
3906,Positive
3907,Positive
3908,Positive
3909,Negative
3910,Positive
3911,Positive
3912,Negative
3913,Negative
3914,Positive
3915,Negative
3916,Positive
3917,Positive
3918,Positive
3919,Positive
3920,Negative
3921,Positive
3922,Positive
3923,Positive
3924,Negative
3925,Negative
3926,Negative
3927,Positive
3928,Negative
3929,Negative
3930,Positive
3931,Positive
3932,Negative
3933,Positive
3934,Negative
3935,Negative
3936,Positive
3937,Negative
3938,Negative
3939,Negative
3940,Positive
3941,Positive
3942,Positive
3943,Negative
3944,Negative
3945,Positive
3946,Negative
3947,Negative
3948,Negative
3949,Positive
3950,Positive
3951,Positive
3952,Negative
3953,Positive
3954,Negative
3955,Positive
3956,Negative
3957,Negative
3958,Negative
3959,Negative
3960,Negative
3961,Negative
3962,Negative
3963,Positive
3964,Negative
3965,Negative
3966,Negative
3967,Positive
3968,Negative
3969,Positive
3970,Positive
3971,Positive
3972,Positive
3973,Negative
3974,Positive
3975,Negative
3976,Negative
3977,Negative
3978,Positive
3979,Positive
3980,Positive
3981,Negative
3982,Positive
3983,Positive
3984,Negative
3985,Positive
3986,Positive
3987,Positive
3988,Negative
3989,Positive
3990,Positive
3991,Negative
3992,Negative
3993,Positive
3994,Negative
3995,Negative
3996,Negative
3997,Positive
3998,Positive
3999,Negative
4000,Positive
